id,classification,status,statement,assumptions,evidence,novelty_position
ARCH-01,invariant_by_construction,implemented,"The canonical execution lineage is Action ≼ EPS ≼ DIC ≼ Phase ≼ Plan ≼ Goal, with package-resident identifiers and hashes.",all canonical actions are recorded by the runtime,.ai-workflow/aw/hierarchy.py | .ai-workflow/tests/test_hierarchical_runtime.py,engineering invariant; not claimed as a new theorem
ARCH-02,invariant_by_construction,implemented,Ordinary phases may progress autonomously inside an approved Plan; periodic and material events are separate governance boundaries.,runtime state transitions are used,.ai-workflow/aw/hierarchy.py | docs/WORKFLOW_SPEC.md,workflow design contribution
DEF-REF-01,definition,retained,"Semantic refinement X ≼ Y means every trace admitted by X, after the declared abstraction map, is admitted by Y.",,AI_NATIVE_WORKFLOW_TECHNICAL_REPORT.tex,standard trace-refinement formulation adapted to the hierarchy
THM-COMP-01,theorem_under_explicit_assumptions,proved,"For an acyclic Plan, phase contract satisfaction composes to goal satisfaction when pre/post compatibility, declared-frame noninterference, and a terminal goal implication all hold.",DAG execution | sound phase contracts | edge compatibility | frame/noninterference | terminal implication,AI_NATIVE_WORKFLOW_TECHNICAL_REPORT.tex#compositional-satisfaction,"known contract-composition principle; included for precision, not claimed as theorem novelty"
THM-LOCAL-01,theorem_under_explicit_assumptions,proved,"Under declared read/write locality, versioned evidence, and deterministic-or-reverified phase semantics, repairing keys Δ requires invalidating only the dynamic impact cone Reach({v:R_v∩Δ≠∅}); outputs outside that cone remain contract-valid.",complete read sets | complete write sets | versioned evidence | deterministic or reverified semantics | no hidden shared state,AI_NATIVE_WORKFLOW_TECHNICAL_REPORT.tex#dependency-local-recovery,adaptation of incremental-computation/build-system locality to agent workflow recovery
THM-LOCAL-02,theorem_under_explicit_assumptions,proved,"Without additional semantic information, the direct-reader seed of the dynamic impact cone is worst-case necessary: every direct reader can be made contract-invalid by some admissible phase function after Δ changes.",phase functions may depend arbitrarily on every declared read key,AI_NATIVE_WORKFLOW_TECHNICAL_REPORT.tex#locality-minimality,tightness characterization for the declared-footprint model
THM-VER-01,theorem_under_explicit_assumptions,proved,"If the conditional probability of missing a persisting fault at each verification gate is at most α, then survival through k gates is at most α^k and the expected number of gate intervals to detection is at most 1/(1−α).",conditional miss bound α<1 at every gate | fault remains observable at subsequent gates,AI_NATIVE_WORKFLOW_TECHNICAL_REPORT.tex#imperfect-verification,elementary reliability bound applied to evidence-gated agent execution
PROP-CHK-01,proposition_under_explicit_assumptions,proved,"In the stated stationary cost model, checkpoint overhead U(h)=n(c_v+βc_f)/h+λnc_r h(1+α)/(2(1−α)) is minimized at h*=sqrt(2(c_v+βc_f)(1−α)/(λc_r(1+α))).",stationary independent fault arrivals | uniform fault position within interval | constant per-phase repair cost | conditional verifier rates | continuous relaxation of h,AI_NATIVE_WORKFLOW_TECHNICAL_REPORT.tex#checkpoint-cost,checkpoint/restart trade-off adapted to governance cadence; not a universal prescription
PROP-CTX-01,proposition_under_explicit_assumptions,proved,A phase can omit global state outside its context projection without changing its action distribution only when the projection is conditionally sufficient for that phase and referenced evidence remains resolvable.,conditional sufficiency | stable artifact identifiers | no hidden side channel,AI_NATIVE_WORKFLOW_TECHNICAL_REPORT.tex#context-locality,formal condition clarifying when externalized state is safe
IMP-OBS-01,impossibility_proposition,proved,"If a verifier observes a non-injective evidence map on which the goal predicate is not constant, no decision rule using only that evidence can have both zero false acceptance and zero false rejection.",verifier decision depends only on observed evidence,AI_NATIVE_WORKFLOW_TECHNICAL_REPORT.tex#observability-limit,"basic partial-observability impossibility; important limit, not claimed as novel in isolation"
HYP-HORIZON-01,empirical_hypothesis,planned_not_tested,"The relative end-to-end benefit of hierarchical execution over a flat plan increases with effective task horizon after controlling model, token budget, and tool budget.",,experiments/FROZEN_CANDIDATE_PROTOCOL.md,central empirical claim requiring confirmatory evidence
HYP-REPAIR-01,empirical_hypothesis,planned_not_tested,Verification-triggered local repair reduces downstream failure propagation and rework versus hierarchy without gated repair at matched inference budget.,,experiments/FROZEN_CANDIDATE_PROTOCOL.md,mechanism claim requiring controlled faults
EMP-RUNTIME-01,engineering_evidence,verified_in_current_build,The reference runtime passes its hierarchy-specific conformance tests and package recovery validation.,recorded test log is current,build/logs/hierarchical_tests.txt | build/logs/recovery.json,"implementation validation, not agent-performance evidence"
NOV-01,novelty_position,provisional_pending_external_review,"The defensible system contribution is the integrated object persistent intent + hierarchical refinement + bounded execution + evidence-gated verification + local repair/upward replanning, not hierarchy alone.",literature synthesis remains current,research/LITERATURE_AND_NOVELTY.md,system-level combination and operationalization
REMOVED-01,unsupported_and_removed,removed,Hierarchical decomposition by itself guarantees correctness or preserves user intent in open-world execution.,,research/CLAIM_LEDGER.md,contradicted by observability and verifier limits
REMOVED-02,unsupported_and_removed,removed,The current package has confirmatory evidence that it outperforms flat agents on long-horizon tasks.,,experiments/EXPERIMENT_HANDOFF.md,awaits dedicated Experiment session
